#,Positive Comments
1,Love that this channel is still producing the same great content several years after I subscribed. The only thing that have changed are the awesome animations! Keep it up!
2,"I built a watering system for my garden that uses a raspberry pi. It checks the weather forecast, has sensors for soil temperature and moisture levels, can switch between soaking or a mist, tracks the amount of watering time each day, sends weekly reports of all data points, and my wife hates it so it’s a win all around. 😂

There are some things that I’ll change if I ever feel up to it. The main one is I’d put different zones for watering. Some plants require more water than others."
3,Thanks so much for this helpful video. This is exactly what I needed as I'm trying to get my portfolio together. I appreciate how you go into detail and give useful real-world advice.
4,"I feel like I have a good start for a portfolio. I've made a python script that can convert a video into a scratch project, I'm working on a sprite sheet maker that will have the ability to neatly order all the sprites in a grid, a node editor, or custom gui in scratch, while drawing everything using code (no images, just turtle graphics, except the mouse pointer), a couple websites, I have plans on making an advanced metronome web app, a program that can read, and dump all the data in mario kart tour, and probably the most impressive things, a level editor for where's my water, and a full library to modify anything in where's my water (wmwpy). I've also created a script to read a proprietary image format used in the where's my water games (waltex), I'm going to make a script to decompress a custom archive format created specifically for the where's my water games. I do also really want to create a patcher for where's my water, one that allows you to combine mods, and distribute mods without distributing any modified app files (it would be smaller file sizes, and avoid piracy). I still have a lot to do, but at least I have many years before I need to start looking for programming jobs."
5,having worked wiTh Asp JS and python for web dev. I find python to be the best. Currently working with Postgresql flask on a project of mine and i am honestly suprised how much simpler and morr straightforward it is in comparison to the others I have mentioned
6,Another cool project would be to make an online portfolio to showcase all your projects. You could even have some sort of blog and stuff to seem smart. I'm planning on doing this in the summer :)))
7,Project Idea:  Inventory system for parts.  The application would have an entry page allowing you to add parts which would include information about the part and where it is stored in some physical storage system and a search page which would allow you to search the database by part or description keywords which would also tell you where the part is located in that physical storage area.
8,"Thanks so much for this update Tim, it's really helpful"
9,"Many of these projects are too high of difficulty for a solo junior developer (the presumptive target audience of this video) to implement *well*. Technical people will often be reading this code, and they will care about things like readability, grasp of the problem, elegance of the solution, etc. It is not necessarily a benefit to you if what you have under the hood is effectively a series of stack overflow or chat gpt snippets because you bit off a project that was more than someone of your experience level (or a solo person of any experience level) could realistically chew. It's good to push yourself and expand your skills, but those aren't usually the projects you want to bring into interviews. An interview project should be about showing mastery of the skills you already have."
10,"Hi, I am a self taught programmer and I graduated with a BS in stats in 2021. I am coming up now on two years working as a full time SWE Frontend Dev. My goal is to eventually break into top tech companies, like faang. Is this possible for self taught devs? Have you worked alongside any self taught devs? I know I have a lot more to learn before I am ready but I just wanted to know if my resume will get thrown out automatically?"
